Batch Size,Seq Length,flashattn,flashinfer,Speedup
32,16,14.686211943626404,18.220245838165283,0.8060380784140537
32,32,14.835521578788757,18.954314291477203,0.7826989333747378
32,64,15.195757150650024,19.31704580783844,0.7866501587154654
32,128,16.466528177261353,19.880644977092743,0.8282693140104221
32,256,33.788979053497314,35.840608179569244,0.9427568551350239
32,512,73.1479749083519,69.84267383813858,1.0473249503286972
32,1024,134.362131357193,123.71256947517394,1.0860831031737332
32,2048,258.3402022719383,230.3670346736908,1.1214286915568055
32,4096,500.9981244802475,417.02114045619965,1.2013734457974514
32,8192,947.9609504342079,830.1404491066933,1.1419283947123648
32,16384,1894.5973739027977,1654.6937823295593,1.1449836786329675
32,32768,3779.936507344246,3305.3984493017197,1.1435645551726976
64,1,21.072328090667725,24.59511160850525,0.8567689558026114
64,2,21.124035120010376,24.38705414533615,0.866198721424916
64,4,21.950267255306244,24.599619209766388,0.8923010989776494
64,8,22.47147262096405,24.58188682794571,0.914147590795087
64,16,22.799670696258545,24.487078189849854,0.9310898801192722
64,32,22.926293313503265,26.131384074687958,0.8773470723164147
64,64,23.716017603874207,27.73050218820572,0.8552321715241441
64,128,33.20600837469101,38.67078572511673,0.8586846052399618
64,256,66.19289517402649,67.82412528991699,0.9759491167940944
64,512,118.99072676897049,122.74246662855148,0.9694340519411699
64,1024,227.53141820430756,220.11149674654007,1.0337098314601512
64,2048,410.89843958616257,381.05204701423645,1.0783262885104277
64,4096,788.7888699769974,746.7776164412498,1.056256712320799
64,8192,1564.2457455396652,1475.7353067398071,1.0599771777470008
64,16384,3114.432394504547,2934.7749799489975,1.0612167596435866
64,32768,6213.7338146567345,5860.335454344749,1.0603034353690421
128,1,35.48663109540939,43.06752234697342,0.8239766107163401
128,2,35.57033836841583,43.124035000801086,0.8248378976539432
128,4,35.76159477233887,43.15279424190521,0.8287202578787163
128,8,36.1885130405426,43.06420683860779,0.8403385478842489
128,16,36.26737743616104,43.51772367954254,0.8333932561185444
128,32,37.77977079153061,45.47465592622757,0.8307873918346917
128,64,45.67105323076248,53.099654614925385,0.8601007588837526
128,128,67.14709103107452,72.2242146730423,0.9297033042871865
128,256,115.89668691158295,118.74798685312271,0.9759886460638151
128,512,213.48707377910614,207.5958251953125,1.0283784540380374
128,1024,381.02056831121445,374.77951496839523,1.0166525999782712
128,2048,735.7992231845856,725.7411256432533,1.0138590706602404
128,4096,1445.9910616278648,1417.146511375904,1.0203539648303235
128,8192,2866.7931631207466,2801.2684360146523,1.0233910917867322
128,16384,5703.750215470791,5572.5958943367,1.0235355880133672
128,32768,11379.581056535244,11122.463420033455,1.0231169684980645
256,1,66.06828421354294,79.63348180055618,0.8296545965302938
256,2,66.29567593336105,79.6302780508995,0.8325435695576122
256,4,66.90513342618942,79.61854338645935,0.8403209928300185
256,8,68.36839020252228,80.32497018575668,0.8511474083888977
256,16,71.07056677341461,84.0400904417038,0.8456745631742772
256,32,74.53937083482742,89.54789489507675,0.8323966847257009
256,64,81.54917508363724,96.0143655538559,0.8493434770226658
256,128,117.93006211519241,131.93901628255844,0.8938225055629891
256,256,206.6418156027794,208.7443321943283,0.989927790759887
256,512,381.7407041788101,381.5774619579315,1.0004278088649183
256,1024,732.5169816613197,717.6297903060913,1.020744946149572
256,2048,1425.308920443058,1397.9445770382881,1.0195746983494471
256,4096,2815.08632004261,2754.645198583603,1.0219415268035554
256,8192,5596.354305744171,5454.056337475777,1.0260903004046071
256,16384,11164.292320609093,10870.605781674385,1.027016575233535
256,32768,22295.611053705215,21672.63187468052,1.028744971198099
